volume_number,start_page_label,macropaedia_contents_name,propaedia_name,britannica_title,britannica_url,confidence,source_image_relative_path,notes
1,1,ACCOUNTING,,,,draft,,
1,5,Ansel ADAMS,,,,draft,,
1,6,John ADAMS,,,,draft,,
1,9,AESTHETICS,,,,draft,,
1,24,AFGHANISTAN,,,,draft,,
1,37,AFRICA,,,,draft,,
1,120A,AFRICAN AMERICAN LITERATURE,,,,draft,,
1,121,AFRICAN ARTS,,,,draft,,
1,168,AGRICULTURAL SCIENCES,,,,draft,,
1,172,The History of AGRICULTURE,,,,draft,,
1,195,ALCOHOL AND DRUG CONSUMPTION,,,,draft,,
1,224,ALEXANDER the Great,,,,draft,,
1,229,ALEXANDRIA,,,,draft,,
1,234,ALGAE,,,,draft,,
1,244,ALGEBRA,,,,draft,,
1,300,AMERICAN LITERATURE,,,,draft,,
1,312,Arts of Native AMERICAN PEOPLES,,,,draft,,
1,349,Native American Peoples,,,,draft,,
1,418,AMPHIBIANS,,,,draft,,
1,436,AMSTERDAM,,,,draft,,
1,441,ANALYSIS (in Mathematics),,,,draft,,
1,523,Physical and Chemical ANALYSIS AND MEASUREMENT,,,,draft,,
1,603,ANGIOSPERMS: The Flowering Plants,,,,draft,,
1,766,ANIMALS,,,,draft,,
1,778,ANNELIDS,,,,draft,,
1,788,ANTARCTICA,,,,draft,,
1,805,ANTWERP,,,,draft,,
1,808,ARABIA,,,,draft,,
1,853,ARACHNIDS,,,,draft,,
1,872,ARCHIMEDES,,,,draft,,
1,874,The Art of ARCHITECTURE,,,,draft,,
1,901,The History of Western ARCHITECTURE,,,,draft,,
2,1,The ARCTIC,,,,draft,,
2,38,ARGENTINA,,,,draft,,
2,55,Aristotle and ARISTOTELIANISM,,,,draft,,
2,72,ARITHMETIC,,,,draft,,
2,82,ART CONSERVATION AND RESTORATION,,,,draft,,
2,94,The History of ART CRITICISM,,,,draft,,
2,108,ARTHROPODS,,,,draft,,
2,114,ARTIFICIAL INTELLIGENCE,,,,draft,,
2,122,ASCHELMINTHS,,,,draft,,
2,128,ASIA,,,,draft,,
2,241,ASIAN PEOPLES AND CULTURES,,,,draft,,
2,278,ATATÜRK,,,,draft,,
2,282,ATHENS,,,,draft,,
2,289,The ATLANTIC OCEAN,,,,draft,,
2,315,ATMOSPHERE,,,,draft,,
2,339,"Atoms: Their Structure, Properties, and Component Particles",,,,draft,,
2,391,ATTENTION,,,,draft,,
2,397,AUGUSTINE,,,,draft,,
2,402,AUGUSTUS,,,,draft,,
2,406,AUSTRALIA,,,,draft,,
2,493,Literatures of AUSTRALIA AND NEW ZEALAND,,,,draft,,
2,501,AUSTRIA,,,,draft,,
2,539,AUTOMATA THEORY,,,,draft,,
2,548,AUTOMATION,,,,draft,,
2,558,BACH,,,,draft,,
2,564,Francis BACON,,,,draft,,
2,587,BAGHDAD,,,,draft,,
2,591,BALKAN STATES,,,,draft,,
