section_code,block_index,page,image,title_count,titles,status,missing_titles,extra_titles,notes
111,1,22,propaedia_pages/part_1/propaedia-2010-part-01-photo-01.jpg,4,"Analysis and Measurement, Physical and Chemical | Atoms: Their Structure, Properties, and Component Particles | Physical Science, Principles of | Physical Sciences, The",verified,,,
112,1,26,propaedia_pages/part_1/propaedia-2010-part-01-photo-02.jpg,5,"Analysis and Measurement, Physical and Chemical | Atoms: Their Structure, Properties, and Component Particles | Physical Sciences, The | Radiation | Subatomic Particles",verified,,,
121,1,28,propaedia_pages/part_1/propaedia-2010-part-01-photo-03.jpg,2,Chemical Compounds | Chemical Elements,verified,,,
122,1,32,propaedia_pages/part_1/propaedia-2010-part-01-photo-04.jpg,2,Biochemical Components of Organisms | Chemical Compounds,verified,,,
123,1,36,propaedia_pages/part_1/propaedia-2010-part-01-photo-05.jpg,2,"Chemical Reactions | Physical Sciences, The",verified,,,
124,1,39,propaedia_pages/part_1/propaedia-2010-part-01-photo-06.jpg,3,"Matter: Its Properties, States, Varieties, and Behaviour | Physical Sciences, The | Thermodynamics, Principles of",verified,,,
125,1,42,propaedia_pages/part_1/propaedia-2010-part-01-photo-07.jpg,2,"Matter: Its Properties, States, Varieties, and Behaviour | Minerals and Rocks",verified,,,
126,1,44,propaedia_pages/part_1/propaedia-2010-part-01-photo-08.jpg,3,"Energy Conversion | Matter: Its Properties, States, Varieties, and Behaviour | Mechanics: Energy, Forces, and Their Effects",verified,,,
127,1,47,propaedia_pages/part_1/propaedia-2010-part-01-photo-09.jpg,3,Electricity and Magnetism | Electromagnetic Radiation | Energy Conversion,verified,,,
128,1,50,propaedia_pages/part_1/propaedia-2010-part-01-photo-10.jpg,5,"Colour | Electromagnetic Radiation | Light | Optics, Principles of | Sound",verified,,,
131,1,53,propaedia_pages/part_1/propaedia-2010-part-01-photo-11.jpg,5,"Analysis and Measurement, Physical and Chemical | Cosmos, The | Gravitation | Physical Sciences, The | Relativity",verified,,,
132,1,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,5,"Cosmos, The | Galaxies | Nebula | Physical Sciences, The | Stars and Star Clusters",verified,,,
133,1,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,5,"Calendar | Earth, The: Its Properties, Composition, and Structure | Eclipse, Occultation, and Transit | Physical Sciences, The | Solar System, The",verified,,,
211,1,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,2,"Earth, The: Its Properties, Composition, and Structure | Solar System, The",verified,,,
212,1,67,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,3,"Earth, The: Its Properties, Composition, and Structure | Minerals and Rocks | Volcanism",verified,,,
213,1,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,2,"Earth, The: Its Properties, Composition, and Structure | Earthquakes",verified,,,
214,1,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,5,"Chemical Elements | Earth, The: Its Properties, Composition, and Structure | Fuels, Fossil | Minerals and Rocks | Volcanism",verified,,,
221,1,74,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg,1,Atmosphere,verified,,,
222,1,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,6,"Earth, The: Its Properties, Composition, and Structure | Hydrosphere, The | Ice and Ice Formations | Lakes | Oceans | Rivers",verified,,,
223,1,78,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,1,Climate and Weather,verified,,,
231,1,80,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,5,"Continental Landforms | Earth, The: Its Properties, Composition, and Structure | Oceans | Plate Tectonics | Volcanism",verified,,,
232,1,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,9,"Continental Landforms | Earth, The: Its Properties, Composition, and Structure | Geomorphic Processes | Ice and Ice Formations | Lakes | Oceans | Rivers | Soils | Volcanism",verified,,,
