volume_number,contents_image_relative_path,contents_image_orientation,image_width,image_height,first_start_page_label,last_start_page_label
1,Macropaedia 2010/contents_pages/macropaedia-2010-volume-01-contents.jpg,left,3000,4000,1,901
2,Macropaedia 2010/contents_pages/macropaedia-2010-volume-02-contents.jpg,left,3000,4000,1,1127
3,Macropaedia 2010/contents_pages/macropaedia-2010-volume-03-contents.jpg,right,3000,4000,1,1100
4,Macropaedia 2010/contents_pages/macropaedia-2010-volume-04-contents.jpg,right,3000,4000,1,982
5,Macropaedia 2010/contents_pages/macropaedia-2010-volume-05-contents.jpg,left,3000,4000,1,970
6,Macropaedia 2010/contents_pages/macropaedia-2010-volume-06-contents.jpg,up,3000,4000,1H,855
7,Macropaedia 2010/contents_pages/macropaedia-2010-volume-07-contents.jpg,right,3000,4000,1,887
8,Macropaedia 2010/contents_pages/macropaedia-2010-volume-08-contents.jpg,up,3000,4000,1,773
9,Macropaedia 2010/contents_pages/macropaedia-2010-volume-09-contents.jpg,left,3000,4000,176,997
10,Macropaedia 2010/contents_pages/macropaedia-2010-volume-10-contents.jpg,up,3000,4000,1,964
11,Macropaedia 2010/contents_pages/macropaedia-2010-volume-11-contents.jpg,down,3000,4000,29,893
12,Macropaedia 2010/contents_pages/macropaedia-2010-volume-12-contents.jpg,left,3000,4000,27,1082
13,Macropaedia 2010/contents_pages/macropaedia-2010-volume-13-contents.jpg,up,3000,4000,1,1077
14,Macropaedia 2010/contents_pages/macropaedia-2010-volume-14-contents.jpg,right,3000,4000,45,1037
15,Macropaedia 2010/contents_pages/macropaedia-2010-volume-15-contents.jpg,left,3000,4000,10,838
16,Macropaedia 2010/contents_pages/macropaedia-2010-volume-16-contents.jpg,up,3000,4000,1,998
17,Macropaedia 2010/contents_pages/macropaedia-2010-volume-17-contents.jpg,up,3000,4000,138,1083
