part_number,capture_sequence,block_index,section_code,propaedia_page_reference,header_context,image_relative_path,topic_summary,sort_order,observed_title,extraction_method,match_status,match_method,matched_title,matched_volume_number,matched_start_page,matched_page_count_estimate
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,1,Africa,single_ocr_line,matched,direct,AFRICA,1,37,83
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,2,"American Peoples, Native",single_ocr_line,matched,observed_comma_flip,Native American Peoples,1,349,69
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,3,Eastern Africa,single_ocr_line,matched,direct,EASTERN AFRICA,5,772,66
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,4,"Arctic, The",single_ocr_line,matched,observed_comma_flip,The ARCTIC,2,1,37
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,5,Europe,single_ocr_line,matched,direct,EUROPE,6,522,68
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,6,Asia,single_ocr_line,matched,direct,ASIA,2,128,113
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,7,North Africa,single_ocr_line,matched,direct,NORTH AFRICA,12,939,58
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,8,Pacific Islands,single_ocr_line,matched,direct,PACIFIC ISLANDS,13,231,71
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,9,Asian Peoples and Cultures,single_ocr_line,matched,direct,ASIAN PEOPLES AND CULTURES,2,241,37
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,10,Australia,single_ocr_line,matched,direct,AUSTRALIA,2,406,87
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,11,Transcaucasia,single_ocr_line,matched,direct,TRANSCAUCASIA,16,751,23
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,12,Central Africa,single_ocr_line,matched,direct,CENTRAL AFRICA,3,612,41
5,1,1,511,175,Division I. Section 511,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Major articles dealing with the peoples and cultures of the world,13,West Indies,single_ocr_line,matched,direct,The WEST INDIES,17,721,69
